uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
7473,null1,bronville,3,2,1,ta,right,3_2,3172,58,4071,1,asking,0,90,81.1346582583131,-0.24238099912603417,-1.7952801587163143,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,0.5267615943494957,86.61688328584457,0.8424267036119875,-3.3831167141554244,0.8206885718612386,-0.6085775061266488,-0.6633208829539924,falling,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,8.31164394850298
7475,null1,broadway,5,1,1,ta,right,5_1,4713,10,672,3,asking,0,110,61.325523908511215,-1.3321003893612655,-10.115327577009031,3.2754239691411797,1.9433235797799142,0.5272193902352313,-0.8048809991260342,0.46930273232373904,88.36271230582761,0.5367337101316516,-1.6372876941723777,0.5548156234455763,-0.5137537239149502,-0.3178475801179589,falling,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,6.5102583405231496
7476,null1,grandma,4,1,1,ta,right,4_1,3855,36,382,4,asking,0,100,61.325523908511215,-1.0717793542503813,-8.465285292009813,3.0151029340302955,1.9433235797799142,0.2668983551243471,-0.8048809991260342,0.49762241657624684,84.23065318490578,0.6834520924401553,-5.769346815094234,0.6979624189997126,-1.3034581304925412,-1.1469557712475043,falling,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,5.945420608606575
7477,null1,greenview,5,4,1,ta,left,5_4,3080,22,1001,5,telling,1,110,124.05699442806409,0.3553996106387345,2.0819946482570297,3.2754239691411797,3.630823579779914,0.5272193902352313,0.8826190008739658,0.5239215609964303,113.47626955008792,0.6416001294743899,23.47626955008792,0.6313739655739213,3.9974613757876734,4.0127246687793265,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,6.90875477931522
7478,null1,bronville,1,2,1,ta,right,1_2,4238,24,515,6,asking,0,70,81.1346582583131,0.3125,2.5555607939001854,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,0.5289859806582841,75.86763899238662,0.5652306909591047,-14.132361007613378,0.5670600249686942,-2.9092173540967257,-2.9572843178192763,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,6.244166900663736
7479,null1,branning,3,1,1,ta,right,3_1,3144,48,380,7,asking,0,90,61.325523908511215,-0.8048809991260342,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,0.47115718633684284,78.15209710867636,0.8380997777402781,-11.847902891323637,0.8421897847410325,-2.561284832326809,-2.443684978501796,falling,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,5.940171252720432
7480,null1,greenview,4,4,1,ta,left,4_4,3194,2,458,8,telling,1,100,124.05699442806409,0.6157206457496187,3.7320369332562473,3.0151029340302955,3.630823579779914,0.2668983551243471,0.8826190008739658,0.5254135517493285,108.09118870993166,0.703227931334714,18.09118870993167,0.691011815151556,3.129819632539421,3.171024202363646,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,6.126869184114185
7481,null1,broadway,5,5,1,ta,left,5_5,3595,8,485,9,telling,1,110,147.29848706238238,0.9178996106387345,5.054869061253128,3.2754239691411797,4.193323579779914,0.5272193902352313,1.4451190008739658,0.5370956946568319,124.24198597206733,0.6672005349961345,34.241985972067326,0.6487350237900997,5.530106140200464,5.581870674342031,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,6.184148890937483
7482,null1,grandma,3,5,1,ta,left,3_5,4634,34,601,10,telling,1,90,147.29848706238238,1.4451190008739658,8.528948467592945,2.7482045789059484,4.193323579779914,0,1.4451190008739658,0.5663486560803699,111.70021672939328,0.8507383327726125,21.700216729393265,0.8413759212461518,3.52766278231317,3.739620941968928,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,6.398594934535208
7483,null1,bronville,2,2,1,ta,left,2_2,3561,26,1543,11,telling,1,80,81.1346582583131,0.03142632932198097,0.24381985859143213,2.4743972504579332,2.505823579779914,-0.27380732844801514,-0.24238099912603417,0.5278481703488704,81.2351163295031,0.6034315920088137,-8.764883670496896,0.6085053570922389,-1.7116461076947644,-1.7738578889644099,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,7.341483852363161
7484,null1,broadway,1,3,1,ta,left,1_3,4072,70,1620,12,telling,1,70,102.02442198493041,0.875,6.52185251905055,2.193323579779914,3.068323579779914,-0.5548809991260342,0.32011900087396583,0.5177178416178446,84.29787782679465,0.44179237553609185,-5.702122173205359,0.44089616386453795,-1.1768033503492115,-1.1331442706726937,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,7.3901814282264295
7485,null1,grandma,3,3,1,ta,right,3_3,3539,44,1637,13,asking,0,90,102.02442198493041,0.32011900087396583,2.171011566434052,2.7482045789059484,3.068323579779914,0,0.32011900087396583,0.5336594216125143,94.47324031657762,0.8427180277677881,4.473240316577618,0.8293719385661673,0.8621654791737711,0.8397688833107582,rising,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,7.400620577371135
7486,null1,greenview,5,3,1,ta,right,5_3,3697,10,2469,14,asking,0,110,102.02442198493041,-0.2071003893612655,-1.3030678399057682,3.2754239691411797,3.068323579779914,0.5272193902352313,0.32011900087396583,0.5085475540251735,105.24317812913316,0.565640043690501,15.24317812913316,0.5628586577947856,2.722790269542444,2.7087577699726704,falling,67,40,Female,Yes,NA,No,NA,No,NA,1,6,3,51,7.81156848934518
